ano;mes;ONI;FMA_PSN;Cerrado_PSN;Caatinga_PSN;FMA_Evap;Cerrado_Evap;Caatinga_Evap;FMA_PET;Cerrado_PET;Caatinga_PET;FMA_IDA;Cerrado_IDA;Caatinga_IDA;FMA_Temp;Cerrado_Temp;Caatinga_Temp;FMA_Precip;Cerrado_Precip;Caatinga_Precip;FMA_AreaQueimada;Cerrado_AreaQueimada;Caatinga_AreaQueimada
2003;11;0,29;132,2348;69,245;60,4054;95,8296;66,7802;50,8797;237,2277;238,7495;251,6769;0,404;0,2797;0,2022;32,8855;35,8743;36,8093;71,6332;151,1173;79,5594;4650,0;26650,0;5850,0
2003;12;0,29;104,2562;72,4919;44,2541;81,5222;67,221;40,8018;210,4989;209,327;224,063;0,3873;0,3211;0,1821;32,7687;33,6032;36,5983;52,2265;125,8149;33,1362;30475,0;15225,0;12500,0
2004;1;0,34;94,4286;93,5186;66,5498;92,9323;87,9128;72,3068;169,0055;167,6782;172,4584;0,5499;0,5243;0,4193;30,9372;31,4349;34,177;245,0959;395,3203;367,2321;350,0;2625,0;700,0
2004;2;0,27;169,6719;140,65;167,6231;132,4431;122,0783;130,9172;222,7216;191,0337;224,6714;0,5947;0,639;0,5827;28,1781;28,1564;28,2491;128,0961;254,7186;129,9139;1950,0;425,0;625,0
2004;3;0,19;134,1104;138,2423;143,9117;120,4881;119,935;121,2426;192,3948;193,3637;214,256;0,6263;0,6203;0,5659;28,3482;28,0907;28,2062;225,4981;240,8942;126,6915;2550,0;39650,0;2950,0
2004;4;0,1;139,2546;141,7976;135,7719;116,4958;110,6277;108,6056;182,7939;195,9663;209,5426;0,6373;0,5645;0,5183;26,8264;29,181;28,7269;106,5292;64,7877;23,9929;600,0;11850,0;1300,0
2004;5;0,12;134,1741;128,9386;119,4531;104,6126;85,8223;78,4904;157,6882;178,8957;183,0339;0,6634;0,4797;0,4288;25,4619;29,2327;28,1975;101,324;2,7247;24,9002;25,0;19200,0;950,0
2004;6;0,22;133,9969;111,5966;104,4621;95,2982;60,7784;56,3558;141,2797;165,875;166,9746;0,6745;0,3664;0,3375;23,7295;28,2887;27,4903;99,0099;0,6195;21,1341;0,0;16725,0;575,0
2004;7;0,39;144,3252;96,7911;97,1158;91,6806;42,9536;45,4975;141,475;188,236;174,7784;0,648;0,2282;0,2603;22,9715;28,8779;28,0109;83,1241;0,4369;14,4273;0,0;31975,0;1575,0
2004;8;0,54;161,0631;65,9144;76,11;92,4542;31,5557;34,7832;168,8794;226,0793;207,1121;0,5475;0,1396;0,1679;26,2233;33,4289;31,8781;31,839;5,0174;7,4082;1025,0;136600,0;11850,0
